"video_id","talent_name","talent_profile","model","confidence","title_raw","content_type","published_at","topic","format","language","is_music","tags","taxonomy_version","prompt_version","created_at","title_hash","talent_id","classification_json","collaborative_energy","community_milestones","interactive_entertainment","meme_viral","monetization","narrative_serialization","performance_artistry","personality_conversation"
"B5H8S_BC4A0","Avaritia_Hawthorne_Variance_Project","avaritia_hawthorne_variance_project","gpt-5-mini",0.8,"making out with another vtuber","short",2026-02-16 00:34:30,"lifestyle","short_form","en",FALSE,"vtuber, collab, clickbait","v4","v4",2026-02-16 00:34:54,"d2e354cb2b4933de","0001_avaritia_hawthorne_variance_project","{""topic"":""lifestyle"",""format"":""short_form"",""language"":""en"",""is_music"":false,""tags"":[""vtuber"",""collab"",""clickbait""],""collaborative_energy"":true,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":true,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"9oAGlmwAJG0","Avaritia_Hawthorne_Variance_Project","avaritia_hawthorne_variance_project","gpt-5-mini",0.9,"NEVER FORGET DL-6<U+3010>PHOENIX WRIGHT: ACE ATTORNEY<U+3011>","live",2026-02-16 00:34:30,"gaming","live_stream","en",FALSE,"Phoenix Wright, DL-6, playthrough","v4","v4",2026-02-16 00:34:54,"d2e354cb2b4933de","0001_avaritia_hawthorne_variance_project","{""topic"":""gaming"",""format"":""live_stream"",""language"":""en"",""is_music"":false,""tags"":[""Phoenix Wright"",""DL-6"",""playthrough""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"3UA4FIvsRTQ","Avaritia_Hawthorne_Variance_Project","avaritia_hawthorne_variance_project","gpt-5-mini",0.45,"Ghost","short",2026-02-16 00:34:30,"other","short_form","unknown",FALSE,"ambiguous","v4","v4",2026-02-16 00:34:54,"d2e354cb2b4933de","0001_avaritia_hawthorne_variance_project","{""topic"":""other"",""format"":""short_form"",""language"":""unknown"",""is_music"":false,""tags"":[""ambiguous""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3U-DJoj-CpY","Avaritia_Hawthorne_Variance_Project","avaritia_hawthorne_variance_project","gpt-5-mini",0.6,"Spark Again - Aimer","short",2026-02-16 00:34:30,"music","short_form","en",FALSE,"song_clip, Aimer, Spark Again","v4","v4",2026-02-16 00:34:54,"d2e354cb2b4933de","0001_avaritia_hawthorne_variance_project","{""topic"":""music"",""format"":""short_form"",""language"":""en"",""is_music"":false,""tags"":[""song_clip"",""Aimer"",""Spark Again""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"-2WiOnkthek","Avaritia_Hawthorne_Variance_Project","avaritia_hawthorne_variance_project","gpt-5-mini",0.9,"jazz karaoke <U+0001F3B6>","live",2026-02-16 00:34:30,"music","live_stream","en",TRUE,"jazz, karaoke, singing","v4","v4",2026-02-16 00:34:54,"d2e354cb2b4933de","0001_avaritia_hawthorne_variance_project","{""topic"":""music"",""format"":""live_stream"",""language"":""en"",""is_music"":true,""tags"":[""jazz"",""karaoke"",""singing""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":true,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"4xIeTrlzxQE","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.65,"DAY 14 letikobo","short",2026-02-16 00:35:12,"music","short_form","en",TRUE,"day_series, letikobo, song","v4","v4",2026-02-16 00:31:08,"dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""music"",""format"":""short_form"",""language"":""en"",""is_music"":true,""tags"":[""day_series"",""letikobo"",""song""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1xQOXiSYljY","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.65,"Day 6 skye","short",2026-02-16 00:35:12,"music","short_form","en",TRUE,"day_series, skye, song","v4","v4",2026-02-16 00:31:08,"dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""music"",""format"":""short_form"",""language"":""en"",""is_music"":true,""tags"":[""day_series"",""skye"",""song""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"0CPJh-jwCXU","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.78,"Leia Day 3 Advent calendar","short",2026-02-16 00:35:12,"lifestyle","short_form","en",FALSE,"advent_calendar, holiday, Leia","v4","v4",2026-02-16 00:31:08,"dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""lifestyle"",""format"":""short_form"",""language"":""en"",""is_music"":false,""tags"":[""advent_calendar"",""holiday"",""Leia""],""collaborative_energy"":false,""community_milestones"":true,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"02t4eCRctRk","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.65,"Day 5 christmas mem","short",2026-02-16 00:35:12,"music","short_form","en",TRUE,"advent_day, christmas, meme","v4","v4",2026-02-16 00:31:08,"dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""music"",""format"":""short_form"",""language"":""en"",""is_music"":true,""tags"":[""advent_day"",""christmas"",""meme""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":true,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"-67n4m1gOHU","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.65,"Day 11 Minu Hana","short",2026-02-16 00:35:12,"music","short_form","en",TRUE,"day_series, Minu Hana, song","v4","v4",2026-02-16 00:31:08,"dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""music"",""format"":""short_form"",""language"":""en"",""is_music"":true,""tags"":[""day_series"",""Minu Hana"",""song""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
